,DATE,COUNT,Req GSM,K.Dia,Gauge,ACT- COUNT,WEIGHT,STREN,TM,LL in mm,CPI,WPI,L,W,Fabric Width Inches
0,2016-11-16,40/1KHY,150,19,24,37.98365,1.706,62.43167,3.696199228086219,2.2117007361500716,135.88006172668116,21.570806950598765,5,5,33.18930078228378
1,2016-11-16,40/1KHY,150,19,24,37.45671,1.73,66.74516,3.722107443509613,2.242814883279035,133.06233342702723,21.42066052903131,5,5,33.42193855458926
2,2016-11-16,40/1KHY,150,19,24,39.58467,1.637,63.62811,3.6206805194569416,2.122247492947817,144.56103049385248,22.020722229300294,5,5,32.51119525259768
3,2016-11-16,40/1KHY,150,19,24,37.98365,1.706,68.50666,3.696199228086219,2.2117007361500716,135.88006172668116,21.570806950598765,5,5,33.18930078228378
4,2016-11-16,40/1KHY,150,19,24,39.22525,1.652,68.91911,3.6372307966915014,2.1416935944746474,142.59663350258788,21.920522632911837,5,5,32.65980524228495
5,2016-11-16,40/1KHY,150,19,24,39.1305,1.656,61.18785,3.641631702010305,2.1468794589046056,142.08027470405372,21.89403172099648,5,5,32.6993223141003
6,2016-11-16,40/1KHY,150,19,24,39.03621,1.66,58.34859,3.646027138392544,2.152065138154208,141.5670429963835,21.867637561016966,5,5,32.73879027866537
7,2016-11-16,40/1KHY,150,19,24,38.70974,1.674,58.87775,3.661369779317617,2.170215213707627,139.7948182318252,21.776003191586828,5,5,32.87655653341363
8,2016-11-16,40/1KHY,150,19,24,39.90155,1.624,62.08707,3.6062749611612808,2.1053935665824173,146.30034219027775,22.108685793144737,5,5,32.38184334873428
9,2016-11-16,40/1KHY,150,19,24,38.02823,1.704,61.84119,3.6940320896042267,2.2091079881095355,136.11934797930715,21.58346166628513,5,5,33.16984138454105
10,2016-11-16,40/1KHY,150,19,24,38.5715,1.68,61.23023,3.667925073532379,2.1779932506297826,139.0466355323244,21.737085246186986,5,5,32.93541852054811
11,2016-11-16,40/1KHY,150,19,24,39.05974,1.659,59.50914,3.6449287703182374,2.150768711380738,141.69506161455874,21.874227186348776,5,5,32.728927696553775
12,2016-11-16,40/1KHY,150,19,24,38.38869,1.688,64.55576,3.676648176540739,2.188365027998264,138.05928840795346,21.68551250259029,5,5,33.013745924357785
13,2016-11-16,40/1KHY,150,19,24,37.56528,1.725,57.76158,3.7167247921117865,2.2363327696922974,133.641283407128,21.451682451500165,5,5,33.37360608514574
14,2016-11-16,40/1KHY,150,19,24,38.80246,1.67,61.58183,3.6569926695916704,2.16502939933877,140.29738686824678,21.80206721850018,5,5,32.83725312948787
15,2016-11-16,40/1KHY,150,19,24,37.54352,1.726,66.86285,3.717801731834933,2.237628934811298,133.5251809917917,21.445468519013524,5,5,33.3832762555533
16,2016-11-16,40/1KHY,150,19,24,38.11771,1.7,64.58666,3.6896937360756685,2.203922183852772,136.60006143652797,21.608839568565454,5,5,33.13088598433829
17,2016-11-16,40/1KHY,150,19,24,39.39216,1.645,64.4176,3.6295168932210213,2.1326189441418464,143.50775982827076,21.967110870571943,5,5,32.59053974908809
18,2016-11-16,40/1KHY,150,19,24,39.41612,1.644,61.17637,3.6284135826410915,2.1313225824019884,143.63871109084582,21.97379052416765,5,5,32.58063278671027
19,2016-11-16,40/1KHY,150,19,24,37.6964,1.719,61.39781,3.710255189293284,2.228554097119796,134.34159738280292,21.48908792852782,5,5,33.315513547207416
20,2016-11-17,40/1KHY,150,19,24,38.23015,1.695,61.06084,3.6842637984535433,2.197440153038025,137.20492327532102,21.64068708474849,5,5,33.082128917457176
21,2016-11-17,40/1KHY,150,19,24,37.52178,1.727,69.63995,3.71887861712132,2.238925409899708,133.409218883125,21.43925849930449,5,5,33.3929459371566
22,2016-11-17,40/1KHY,150,19,24,38.27532,1.693,60.74414,3.6820891945089533,2.1948468795732254,137.4481623157625,21.653467851593657,5,5,33.062602485047655
23,2016-11-17,40/1KHY,150,19,24,39.249,1.651,58.51484,3.6361301660590266,2.140397632211436,142.72616164958345,21.92715781855916,5,5,32.64992234397314
24,2016-11-17,40/1KHY,150,19,24,38.43423,1.686,58.41059,3.674469335116262,2.1857720752221828,138.3050281390023,21.698371309847197,5,5,32.99418144232327
25,2016-11-17,40/1KHY,150,19,24,38.20761,1.696,61.14212,3.68535037599783,2.1987364995263157,137.08359980078166,21.63430661010424,5,5,33.09188562880178
26,2016-11-17,40/1KHY,150,19,24,38.64049,1.677,61.98896,3.6646491937132883,2.1741045899435196,139.41985600352956,21.756516322702034,5,5,32.90600339600172
27,2016-11-17,40/1KHY,150,19,24,38.64049,1.677,59.22052,3.6646491937132883,2.1741045899435196,139.41985600352956,21.756516322702034,5,5,32.90600339600172
28,2016-11-17,40/1KHY,150,19,24,39.17781,1.654,62.84629,3.6394322728048927,2.144286948828091,142.338021823657,21.90726300796154,5,5,32.679572968098306
29,2016-11-17,40/1KHY,150,19,24,38.23015,1.695,61.66728,3.6842637984535433,2.197440153038025,137.20492327532102,21.64068708474849,5,5,33.082128917457176
30,2016-11-17,40/1KHY,150,19,24,38.25272,1.694,56.11046,3.6831767371513937,2.1961436119226727,137.32644406950956,21.647074167194045,5,5,33.072367862303096
31,2016-11-17,40/1KHY,150,19,24,38.52563,1.682,56.52041,3.6701080056799875,2.180586447688634,138.79867372513613,21.724156312731687,5,5,32.95501973443392
32,2016-11-17,40/1KHY,150,19,24,38.68663,1.675,58.52831,3.6624632012956404,2.1715116221461175,139.66964911342035,21.76950200395039,5,5,32.88637470301737
